tanggal,harga
2017-07-11,28500.0
2017-07-12,28500.0
2017-07-13,28500.0
2017-07-14,28500.0
2017-07-17,28750.0
2017-07-18,28750.0
2017-07-19,28750.0
2017-07-20,27500.0
2017-07-21,27500.0
2017-07-24,27500.0
2017-07-25,26250.0
2017-07-26,26250.0
2017-07-27,26250.0
2017-07-28,26250.0
2017-07-31,28400.0
2017-08-01,28400.0
2017-08-02,28400.0
2017-08-03,29500.0
2017-08-04,29500.0
2017-08-07,32650.0
2017-08-08,32650.0
2017-08-09,32650.0
2017-08-10,30150.0
2017-08-11,30150.0
2017-08-14,30150.0
2017-08-15,31150.0
2017-08-16,31150.0
2017-08-18,31150.0
2017-08-21,29900.0
2017-08-22,29900.0
2017-08-23,29900.0
2017-08-24,29850.0
2017-08-25,29250.0
2017-08-28,28750.0
2017-08-29,28750.0
2017-08-30,36000.0
2017-08-31,36000.0
2017-09-04,37500.0
2017-09-05,35650.0
2017-09-06,36900.0
2017-09-07,36250.0
2017-09-08,36250.0
2017-09-11,36250.0
2017-09-12,36250.0
2017-09-13,36250.0
2017-09-14,35400.0
2017-09-15,35400.0
2017-09-18,36650.0
2017-09-19,35900.0
2017-09-20,35000.0
2017-09-22,35000.0
2017-09-25,35000.0
2017-09-26,35000.0
2017-09-27,34500.0
2017-09-28,34500.0
2017-09-29,34500.0
2017-10-02,34150.0
2017-10-03,34150.0
2017-10-04,34150.0
2017-10-05,35650.0
2017-10-06,37750.0
2017-10-09,44150.0
2017-10-10,44150.0
2017-10-11,44150.0
2017-10-12,44150.0
2017-10-13,44150.0
2017-10-16,40000.0
2017-10-17,38250.0
2017-10-18,37750.0
2017-10-19,37900.0
2017-10-20,37900.0
2017-10-23,35900.0
2017-10-24,35900.0
2017-10-25,34500.0
2017-10-26,34500.0
2017-10-27,34500.0
2017-10-30,34150.0
2017-10-31,35000.0
2017-11-01,35000.0
2017-11-02,35000.0
2017-11-03,35000.0
2017-11-06,36250.0
2017-11-07,36250.0
2017-11-08,36250.0
2017-11-09,36250.0
2017-11-10,36250.0
2017-11-13,42250.0
2017-11-14,42250.0
2017-11-15,42250.0
2017-11-16,44650.0
2017-11-17,46900.0
2017-11-20,46650.0
2017-11-21,46650.0
2017-11-22,41250.0
2017-11-23,48250.0
2017-11-24,48250.0
2017-11-27,45900.0
2017-11-28,45900.0
2017-11-29,44000.0
2017-11-30,44000.0
2017-12-04,48000.0
2017-12-05,50500.0
2017-12-06,50750.0
2017-12-07,50750.0
2017-12-08,50750.0
2017-12-11,46500.0
2017-12-12,46500.0
2017-12-13,45000.0
2017-12-14,45000.0
2017-12-15,46250.0
2017-12-18,45000.0
2017-12-19,42250.0
2017-12-20,45000.0
2017-12-21,45000.0
2017-12-22,42500.0
2017-12-27,42500.0
2017-12-28,42500.0
2017-12-29,41250.0
2018-01-02,46250.0
2018-01-03,45900.0
2018-01-04,40400.0
2018-01-05,40400.0
2018-01-08,40250.0
2018-01-09,41250.0
2018-01-10,41250.0
2018-01-11,41250.0
2018-01-12,41750.0
2018-01-15,45500.0
2018-01-16,45500.0
2018-01-17,42500.0
2018-01-18,43250.0
2018-01-19,41750.0
2018-01-22,43750.0
2018-01-23,43150.0
2018-01-24,42500.0
2018-01-25,41900.0
2018-01-26,41900.0
2018-01-29,44400.0
2018-01-30,43150.0
2018-01-31,42500.0
2018-02-01,45650.0
2018-02-02,45650.0
2018-02-05,48150.0
2018-02-06,48750.0
2018-02-07,48750.0
2018-02-08,48750.0
2018-02-09,48750.0
2018-02-12,49400.0
2018-02-13,49400.0
2018-02-14,49400.0
2018-02-15,53750.0
2018-02-19,53150.0
2018-02-20,53150.0
2018-02-21,53150.0
2018-02-22,53150.0
2018-02-23,47750.0
2018-02-26,46900.0
2018-02-27,48750.0
2018-02-28,48750.0
2018-03-01,49400.0
2018-03-02,51900.0
2018-03-05,44400.0
2018-03-06,45000.0
