tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas I,Daging Sapi Kualitas II,Telur Ayam,Telur Ayam Ras Segar,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk I,Minyak Goreng Kemasan Bermerk II,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
2016-08-11,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,33250.0,33250.0,132500.0,140000.0,125000.0,22000.0,22000.0,39500.0,39500.0,39000.0,39000.0,31000.0,31500.0,30500.0,46500.0,35000.0,58000.0,12800.0,11000.0,14150.0,13250.0,16450.0,17250.0,15650.0
2016-08-12,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,32750.0,32750.0,132500.0,140000.0,125000.0,22400.0,22400.0,39500.0,39500.0,38500.0,38500.0,30500.0,29000.0,32000.0,46500.0,35000.0,58000.0,12800.0,11000.0,14150.0,13250.0,16450.0,17250.0,15650.0
2016-08-13,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,32750.0,32750.0,132500.0,140000.0,125000.0,22400.0,22400.0,39500.0,39500.0,38500.0,38500.0,30500.0,29000.0,32000.0,46500.0,35000.0,58000.0,12800.0,11000.0,14150.0,13250.0,16450.0,17250.0,15650.0
2016-08-14,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,32750.0,32750.0,132500.0,140000.0,125000.0,22400.0,22400.0,39500.0,39500.0,38500.0,38500.0,30500.0,29000.0,32000.0,46500.0,35000.0,58000.0,12800.0,11000.0,14150.0,13250.0,16450.0,17250.0,15650.0
2016-08-15,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,34000.0,34000.0,132500.0,140000.0,125000.0,21250.0,21250.0,41750.0,41750.0,40000.0,40000.0,29250.0,26000.0,32500.0,47750.0,37500.0,58000.0,12900.0,11250.0,14150.0,13250.0,16200.0,17250.0,15150.0
2016-08-16,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,33500.0,33500.0,132500.0,140000.0,125000.0,21250.0,21250.0,39000.0,39000.0,39000.0,39000.0,29250.0,26000.0,32500.0,48750.0,37500.0,60000.0,12900.0,11250.0,14150.0,13250.0,16200.0,17250.0,15150.0
2016-08-17,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,33500.0,33500.0,132500.0,140000.0,125000.0,21250.0,21250.0,39000.0,39000.0,39000.0,39000.0,29250.0,26000.0,32500.0,48750.0,37500.0,60000.0,12900.0,11250.0,14150.0,13250.0,16200.0,17250.0,15150.0
2016-08-18,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,34000.0,34000.0,132500.0,140000.0,125000.0,20750.0,20750.0,36500.0,36500.0,38250.0,38250.0,32000.0,31500.0,32500.0,48750.0,35500.0,62000.0,13200.0,12000.0,14250.0,13400.0,16100.0,17250.0,14900.0
2016-08-19,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,34000.0,34000.0,132500.0,140000.0,125000.0,20750.0,20750.0,35000.0,35000.0,38500.0,38500.0,32150.0,31750.0,32500.0,52000.0,42000.0,62000.0,13200.0,12000.0,14250.0,13400.0,16100.0,17250.0,14900.0
2016-08-20,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,34000.0,34000.0,132500.0,140000.0,125000.0,20750.0,20750.0,35000.0,35000.0,38500.0,38500.0,32150.0,31750.0,32500.0,52000.0,42000.0,62000.0,13200.0,12000.0,14250.0,13400.0,16100.0,17250.0,14900.0
2016-08-21,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,34000.0,34000.0,132500.0,140000.0,125000.0,20750.0,20750.0,35000.0,35000.0,38500.0,38500.0,32150.0,31750.0,32500.0,52000.0,42000.0,62000.0,13200.0,12000.0,14250.0,13400.0,16100.0,17250.0,14900.0
2016-08-22,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,34000.0,34000.0,132500.0,140000.0,125000.0,20250.0,20250.0,38500.0,38500.0,40000.0,40000.0,32000.0,31500.0,32500.0,50000.0,40000.0,60000.0,13700.0,12250.0,14500.0,14250.0,16150.0,17250.0,15000.0
2016-08-23,11050.0,9750.0,9300.0,11400.0,10850.0,12650.0,12150.0,33500.0,33500.0,132500.0,140000.0,125000.0,20500.0,20500.0,34250.0,34250.0,36250.0,36250.0,31150.0,29500.0,32750.0,47900.0,35750.0,60000.0,13750.0,12500.0,14500.0,14250.0,16150.0,17250.0,15000.0
2016-08-24,11000.0,9750.0,9300.0,11500.0,10950.0,12400.0,11900.0,33500.0,33500.0,132500.0,140000.0,125000.0,20500.0,20500.0,34750.0,34750.0,38250.0,38250.0,32250.0,31500.0,33000.0,50000.0,40000.0,60000.0,13850.0,12750.0,14500.0,14250.0,16400.0,17250.0,15500.0
2016-08-25,11000.0,9750.0,9300.0,11500.0,10950.0,12400.0,11900.0,32750.0,32750.0,132500.0,140000.0,125000.0,20500.0,20500.0,34500.0,34500.0,36500.0,36500.0,32650.0,33000.0,32250.0,46500.0,40000.0,53000.0,13900.0,12900.0,14500.0,14250.0,16350.0,17250.0,15400.0
2016-08-26,11000.0,9750.0,9300.0,11500.0,10950.0,12400.0,11900.0,32750.0,32750.0,132500.0,140000.0,125000.0,20500.0,20500.0,33000.0,33000.0,36250.0,36250.0,31500.0,30750.0,32250.0,46650.0,38250.0,55000.0,13900.0,12900.0,14500.0,14250.0,16350.0,17250.0,15400.0
2016-08-27,11000.0,9750.0,9300.0,11500.0,10950.0,12400.0,11900.0,32750.0,32750.0,132500.0,140000.0,125000.0,20500.0,20500.0,33000.0,33000.0,36250.0,36250.0,31500.0,30750.0,32250.0,46650.0,38250.0,55000.0,13900.0,12900.0,14500.0,14250.0,16350.0,17250.0,15400.0
2016-08-28,11000.0,9750.0,9300.0,11500.0,10950.0,12400.0,11900.0,32750.0,32750.0,132500.0,140000.0,125000.0,20500.0,20500.0,33000.0,33000.0,36250.0,36250.0,31500.0,30750.0,32250.0,46650.0,38250.0,55000.0,13900.0,12900.0,14500.0,14250.0,16350.0,17250.0,15400.0
2016-08-29,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31250.0,31250.0,132500.0,140000.0,125000.0,19900.0,19900.0,37500.0,37500.0,38500.0,38500.0,30000.0,27750.0,32250.0,45400.0,38250.0,52500.0,13850.0,12750.0,14500.0,14250.0,16100.0,17250.0,14900.0
2016-08-30,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31250.0,31250.0,132500.0,140000.0,125000.0,19900.0,19900.0,37250.0,37250.0,38000.0,38000.0,31750.0,28750.0,34750.0,43750.0,35000.0,52500.0,13850.0,12750.0,14500.0,14250.0,16100.0,17250.0,14900.0
2016-08-31,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,30250.0,30250.0,132500.0,140000.0,125000.0,19500.0,19500.0,40000.0,40000.0,38500.0,38500.0,35400.0,32250.0,38500.0,46000.0,37500.0,54500.0,13850.0,12750.0,14500.0,14250.0,16100.0,17250.0,14900.0
2016-09-01,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,30250.0,30250.0,132500.0,140000.0,125000.0,20000.0,20000.0,40000.0,40000.0,39500.0,39500.0,36000.0,32500.0,39500.0,46400.0,38250.0,54500.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-02,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,30250.0,30250.0,135400.0,143250.0,127500.0,20000.0,20000.0,40000.0,40000.0,40000.0,40000.0,36650.0,33250.0,40000.0,46500.0,38500.0,54500.0,13900.0,12650.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-03,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,30250.0,30250.0,135400.0,143250.0,127500.0,20000.0,20000.0,40000.0,40000.0,40000.0,40000.0,36650.0,33250.0,40000.0,46500.0,38500.0,54500.0,13900.0,12650.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-04,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,30250.0,30250.0,135400.0,143250.0,127500.0,20000.0,20000.0,40000.0,40000.0,40000.0,40000.0,36650.0,33250.0,40000.0,46500.0,38500.0,54500.0,13900.0,12650.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-05,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31750.0,31750.0,135400.0,143250.0,127500.0,20000.0,20000.0,45000.0,45000.0,40000.0,40000.0,47500.0,47000.0,48000.0,47000.0,39500.0,54500.0,13900.0,12650.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-06,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,32250.0,32250.0,135400.0,143250.0,127500.0,20000.0,20000.0,47000.0,47000.0,42000.0,42000.0,49250.0,49500.0,49000.0,47000.0,39500.0,54500.0,13900.0,12650.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-07,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31750.0,31750.0,135400.0,143250.0,127500.0,20000.0,20000.0,44500.0,44500.0,38750.0,38750.0,50500.0,52000.0,49000.0,43650.0,35750.0,51500.0,13900.0,12650.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-08,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31750.0,31750.0,135400.0,143250.0,127500.0,19900.0,19900.0,45000.0,45000.0,39500.0,39500.0,51250.0,53000.0,49500.0,44400.0,36750.0,52000.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-09,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31500.0,31500.0,135400.0,143250.0,127500.0,19900.0,19900.0,45000.0,45000.0,36750.0,36750.0,54500.0,54500.0,54500.0,42750.0,35000.0,50500.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-10,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31500.0,31500.0,135400.0,143250.0,127500.0,19900.0,19900.0,45000.0,45000.0,36750.0,36750.0,54500.0,54500.0,54500.0,42750.0,35000.0,50500.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-11,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31500.0,31500.0,135400.0,143250.0,127500.0,19900.0,19900.0,45000.0,45000.0,36750.0,36750.0,54500.0,54500.0,54500.0,42750.0,35000.0,50500.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-12,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,31500.0,31500.0,135400.0,143250.0,127500.0,19900.0,19900.0,45000.0,45000.0,36750.0,36750.0,54500.0,54500.0,54500.0,42750.0,35000.0,50500.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
2016-09-13,10950.0,9750.0,9300.0,11500.0,10950.0,12250.0,11750.0,34250.0,34250.0,135400.0,143250.0,127500.0,19650.0,19650.0,44500.0,44500.0,38000.0,38000.0,49250.0,50000.0,48500.0,42750.0,35000.0,50500.0,13950.0,12900.0,14650.0,14400.0,16100.0,17250.0,14900.0
