tanggal,harga
2016-07-25,12250.0
2016-07-26,12400.0
2016-07-27,12400.0
2016-07-28,12400.0
2016-07-29,12400.0
2016-08-01,12400.0
2016-08-02,12400.0
2016-08-03,12400.0
2016-08-04,12400.0
2016-08-05,12400.0
2016-08-08,12650.0
2016-08-09,12650.0
2016-08-10,12650.0
2016-08-11,12650.0
2016-08-12,12650.0
2016-08-15,12650.0
2016-08-16,12650.0
2016-08-18,12650.0
2016-08-19,12650.0
2016-08-22,12650.0
2016-08-23,12650.0
2016-08-24,12400.0
2016-08-25,12400.0
2016-08-26,12400.0
2016-08-29,12250.0
2016-08-30,12250.0
2016-08-31,12250.0
2016-09-01,12250.0
2016-09-02,12250.0
2016-09-05,12250.0
2016-09-06,12250.0
2016-09-07,12250.0
2016-09-08,12250.0
2016-09-09,12250.0
2016-09-13,12250.0
2016-09-14,12250.0
2016-09-15,12250.0
2016-09-16,12250.0
2016-09-19,12250.0
2016-09-20,12250.0
2016-09-21,12250.0
2016-09-22,12250.0
2016-09-23,12250.0
2016-09-26,12250.0
2016-09-27,12250.0
2016-09-28,12250.0
2016-09-29,12250.0
2016-09-30,12250.0
2016-10-03,12250.0
2016-10-04,12250.0
2016-10-05,12250.0
2016-10-06,12250.0
2016-10-07,12250.0
2016-10-10,12250.0
2016-10-11,12250.0
2016-10-12,12250.0
2016-10-13,12250.0
2016-10-14,12250.0
2016-10-17,12250.0
2016-10-18,12250.0
2016-10-19,12250.0
2016-10-20,12250.0
2016-10-21,12250.0
2016-10-24,12250.0
2016-10-25,12250.0
2016-10-26,12250.0
2016-10-27,12250.0
2016-10-28,12250.0
2016-10-31,12250.0
2016-11-01,12250.0
2016-11-02,12250.0
2016-11-03,12250.0
2016-11-04,12250.0
2016-11-07,12250.0
2016-11-08,12250.0
2016-11-09,12250.0
2016-11-10,12250.0
2016-11-11,12250.0
2016-11-14,12250.0
2016-11-15,12250.0
2016-11-16,12250.0
2016-11-17,12250.0
2016-11-18,12250.0
2016-11-21,12250.0
2016-11-22,12250.0
2016-11-23,12250.0
2016-11-24,12250.0
2016-11-25,12250.0
2016-11-28,12250.0
2016-11-29,12250.0
2016-11-30,12250.0
2016-12-01,12250.0
2016-12-02,12250.0
2016-12-05,12250.0
2016-12-06,12250.0
2016-12-07,12250.0
2016-12-08,12250.0
2016-12-09,12250.0
2016-12-13,12250.0
2016-12-14,12250.0
2016-12-15,12250.0
2016-12-16,12250.0
2016-12-19,12250.0
2016-12-20,12250.0
2016-12-21,12250.0
2016-12-22,12250.0
2016-12-23,12250.0
2016-12-27,12250.0
2016-12-28,12250.0
2016-12-29,12250.0
2016-12-30,12250.0
2017-01-03,12250.0
2017-01-04,12250.0
2017-01-05,12250.0
2017-01-06,12250.0
2017-01-09,12250.0
2017-01-10,12250.0
2017-01-11,12250.0
2017-01-12,12250.0
2017-01-13,12250.0
2017-01-16,12250.0
2017-01-17,12250.0
2017-01-18,12250.0
2017-01-19,12250.0
2017-01-20,12250.0
2017-01-23,12250.0
2017-01-24,12250.0
2017-01-25,12250.0
2017-01-26,12250.0
2017-01-27,12250.0
2017-01-30,12250.0
2017-01-31,12250.0
2017-02-01,12250.0
2017-02-02,12250.0
2017-02-03,12250.0
2017-02-06,12250.0
2017-02-07,12250.0
2017-02-08,12250.0
2017-02-09,12250.0
2017-02-10,12250.0
2017-02-13,12250.0
2017-02-14,12250.0
2017-02-16,12250.0
2017-02-17,12250.0
2017-02-20,12250.0
2017-02-21,12250.0
2017-02-22,12250.0
2017-02-23,12250.0
2017-02-24,12250.0
2017-02-27,12250.0
2017-02-28,12250.0
2017-03-01,12250.0
2017-03-02,12250.0
2017-03-03,12250.0
2017-03-06,12250.0
2017-03-07,12250.0
2017-03-08,12250.0
2017-03-09,12250.0
2017-03-10,12250.0
2017-03-13,12250.0
2017-03-14,12250.0
2017-03-15,12250.0
2017-03-16,12250.0
2017-03-17,12250.0
2017-03-20,12250.0
2017-03-21,12250.0
2017-03-22,12250.0
2017-03-23,12250.0
2017-03-24,12250.0
2017-03-27,12250.0
2017-03-29,12250.0
2017-03-30,12250.0
2017-03-31,12250.0
